2.48,1,1,1,1
0.98,2,2,1,2
1.62,4,4,2,3
1.21,2,2,0,2
1.26,2,2,1,3
1.7,1,1,1,1
1.46,0,0,1,1
1.58,1,1,0,1
1.97,2,2,0,1
2.03,1,1,0,1
1.39,3,3,1,2
1.62,1,1,0,2
1.64,3,3,0,2
0,0,0,0,1
1.41,1,1,0,2
1.6,5,5,1,2
1.61,1,1,1,2
1.3,2,2,1,2
1.14,2,2,0,1
1.66,1,1,3,1
2.15,2,2,0,2
1.36,1,1,1,3
1.55,1,1,2,1
0,0,0,0,1
0.99,1,1,1,2
0.96,2,2,1,2
1.6,3,3,3,2
0.82,1,1,1,2
1.44,1,1,0,2
2.0,1,1,2,2
1.27,2,2,3,2
2.19,4,4,1,3
1.65,1,1,0,2
1.23,1,1,2,3
1.86,3,3,2,3
1.39,2,2,0,2
1.71,0,0,0,1
1.69,1,1,1,2
1.34,1,1,3,2
1.61,2,2,1,1
1.39,1,1,1,2
1.99,1,1,0,1
1.35,1,1,1,2
1.58,2,2,2,3
1.38,1,1,2,1
0.96,2,2,1,2
1.35,2,2,2,2
2.24,1,1,3,2
2.06,2,2,0,2
1.33,4,4,1,2
1.39,1,1,2,1
2.24,1,1,2,3
1.15,1,1,0,2
1.91,2,2,0,2
1.5,1,1,2,2
1.83,1,1,2,2
1.9,1,1,0,2
2.09,3,3,2,3
0.87,4,4,3,2
2.48,2,2,0,2
2.12,2,2,1,2
0.96,2,2,1,2
1.67,1,1,0,2
1.39,1,1,0,2
2.08,3,3,3,3
1.44,1,1,1,3
1.77,1,1,2,2
1.25,1,1,1,2
1.32,3,3,4,3
1.08,1,1,1,2
1.66,5,5,3,3
1.64,1,1,1,2
0.85,1,1,4,2
1.96,0,0,1,1
1.56,1,1,1,2
1.67,1,1,3,2
1.67,2,2,1,2
1.46,1,1,1,2
1.49,4,4,1,3
1.32,0,0,1,1
1.39,1,1,2,2
1.8,2,2,1,2
1.4,1,1,3,2
1.6,2,2,2,2
2.25,1,1,1,1
1.78,2,2,1,2
1.75,2,2,1,2
0.95,2,2,0,2
1.15,2,2,1,2
1.32,1,1,2,2
