110.0,11.0,12.0,13.0,14.0,120.0,15.0,16.0
2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0
1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
3.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0
2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0
3.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0
1.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0
1.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0
2.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0
3.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0
2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0
2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0
2.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0
1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0
2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0
2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
2.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0
2.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0
2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0
3.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0
2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0
1.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0
3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0
3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0
2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0
2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0
3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0
2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0
2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0
